Количество модулей;1 модуль;1 модуль;1 модуль;1 модуль;2 модуля;2 модуля;2 модуля;2 модуля;3 модуля;3 модуля;3 модуля;3 модуля
Вылет\Ширина (м);2.5;3;3.5;4;5;6;7;8;7.5;9;10.5;12
2.5;4486;4904;5322;5740;8647;9483;10319;11155;12978;14232;15486;16740
3;4985;5468;5951;6434;9650;10616;11582;12548;14484;15933;17382;18831
3.5;5483;6031;6579;7128;10651;11747;12843;13941;15987;17631;19275;20922
4;5981;6594;7208;7821;11650;12876;14104;15330;17490;19329;21171;23010
4.5;6479;7158;7836;8515;12650;14008;15364;16722;18993;21030;23064;25101
5;6977;7721;8465;9208;13649;15137;16625;18111;20496;22728;24960;27189
5.5;7476;8284;9093;9902;14652;16268;17886;19504;22002;24426;26853;29280
6;8397;9271;10145;11009;16499;18247;19995;21743;24774;27396;30018;32640
6.5;8895;9835;10774;11713;17500;19380;21258;23136;26277;29097;31914;34731
7;9394;10398;11402;12406;18501;20509;22517;24525;27783;30795;33807;36819
7.5;9892;10961;12031;13100;19502;21640;23780;25918;29286;32493;35703;38910
8;10390;11525;12659;13794;20502;22772;25040;27310;30789;34194;37596;41001
